,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,id_flag,host_id_flag,neighbourhood_flag,latitude_flag,longitude_flag,minimum_nights_flag,number_of_reviews_flag,last_review_flag,room_type_flag
85,2693387,"The Bucktown Penthouse Family, Business, Friends",13783917,Vora,,Logan Square,41.91432,-87.6737,Entire home/apt,124.0,1,136,2022-11-26,2.09,2,283,11,R20000051982,0,2,0,0,0,0,0,0,0
86,2715815,GROCERY STORE DOWNSTAIRS | KING SIZE BED | BALCONY,3965428,Rob,,Near South Side,41.85445,-87.62432,Apartment,120.0,32,15,2020-07-03,0.15,71,221,0,City registration pending,0,2,0,0,0,0,0,0,1
87,2819982,"McCormick Modern New 2 beds Luxury , Pool, HotTub",3965428,Rob,,Near South Side,41.85235,-87.6216,Entire home/apt,200.0,60,8,2016-12-02,0.08,71,364,0,City registration pending,0,2,0,0,0,0,0,0,0
88,2832376,Modern 1 Bedroom w/POOL HOT TUB Luxury,3965428,Rob,,Near South Side,41.85441,-87.62151,Apartment,135.0,32,7,2018-07-07,0.07,71,365,0,City registration pending,0,2,0,0,0,0,0,0,1
89,2844042,"Relax in a Custom, Creative, Artsy, Unique Apartment in West Town",8813383,Mindy + Tony,,West Town,41.89425,-87.68468,Entire home/apt,84.0,32,159,2022-11-19,1.52,3,233,4,R21000073802,0,0,0,0,0,0,0,0,0
90,2874486,,14692157,Rrss,,West Town,41.90243,-8767028.0,Entire home/apt,,2,,2022-11-28,2.64,2,154,59,R21000071753,0,2,0,0,1,0,2,0,0
91,2874486,Gorgeous Penthouse with Stunning Views from Private Rooftop,14692157,Rrss,,West Town,41.90243,-8767028.0,Entire home/apt,165.0,2,200,2022-11-28,2.64,2,154,59,R21000071753,0,2,0,0,1,0,0,0,0
92,2907500,The Red Room,11231030,Erik,,West Lawn,41.78355,-87.72894,Private room,39.0,1,332,2022-10-10,3.26,2,259,3,R17000014945,0,0,0,0,0,0,0,0,0
93,3053081,Relaxed Bucktown/Wicker Park 1B Apt,1368870,Paul,,Logan Square,41.91548,-87.67451,Apartment,86.0,2,426,2022-11-27,4.08,1,165,57,R22000090195,0,0,0,0,0,0,0,0,1
94,3111197,"Beautiful, large, light-filled 1Bd",5863711,Masha,,Rogers Park,42.00529,-87.67761,Apartment,130.0,32,45,2021-12-26,0.44,1,365,1,City registration pending,0,0,0,0,0,0,0,0,1
95,3172794,LOFT606:  Gigantic Sunlit Former Factory Home,16090300,Gohn,,Logan Square,41.91704,-87.69375,Entire home/apt,1115.0,1,75,2022-11-18,0.73,10,344,15,R17000015252,0,2,0,0,0,0,0,0,0
96,3267902,Ravenswood Guest House Annex,2676165,Richard,,Edgewater,41.9895,-87.66685,Apartment,89.0,2,328,2022-12-11,3.16,1,249,40,R17000014245,0,0,0,0,0,0,0,0,1
97,3329088,East Garfield Park 2 Bedroom,16807770,William,,East Garfield Park,41.88373,-8770718.0,Entire home/apt,113.0,3,112,2022-11-14,1.08,1,344,20,R17000017864,0,0,0,0,1,0,0,0,0
98,3453656,Private large room with your own bathroom,17405364,JennifXr,,Rogers Park,41.99993,-87.66844,Private room,122.0,14,39,2022-11-07,0.43,2,148,6,R21000073244,0,1,0,0,0,0,0,0,0
99,3485081,Cozy coach house garden unit in wicker park.,11848299,Anton,,,,-87.68219,Private room,,3,180,2021-10-12,1.76,2,0,0,R17000014102,1,0,2,1,0,0,0,0,0
100,3485081,Cozy coach house garden unit in wicker park.,11848299,Anton,,West Town,41.90711,-87.68219,Private room,112.0,3,180,2021-10-12,1.76,2,0,0,R17000014102,0,0,0,0,0,0,0,0,0
101,3517984,Private room w/bath in urban canopy,11294056,Amanda,,Hyde Park,41.7998,-87.59381,Private room,76.0,1,369,2022-12-04,3.63,1,67,35,R17000015187,0,0,0,0,0,0,0,0,0
102,3570616,1 Bedroom Victorian Beauty at Logan Square!,3920450,Vas,,Logan Square,41.92925,-87.71824,Entire home/apt,60.0,32,152,2022-10-30,1.49,4,304,5,,0,2,0,0,0,0,0,0,0
103,3590692,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,Luke & Ligia,,Edgewater,41.99041,-87.66022,Private room,39.0,20,43,2022-10-01,0.42,3,182,5,R18000034100,0,0,0,0,0,0,0,0,0
104,3639045,Modern suite in Victorian Garden setting.,8607123,Grainne,,West Ridge,41.99739,-87.67507,Entire home/apt,80.0,60,5,2020-10-03,0.1,2,356,0,R17000015507,0,0,0,0,0,0,0,0,0
105,3639045,Modern suite in Victorian Garden setting.,8607123,Grainne,,West Ridge,41.99739,-87.67507,Entire home/apt,80.0,60,5,2020-10-03,0.1,2,356,0,R17000015507,1,0,0,0,0,0,0,0,0
106,3655706,Baba Yaga’s Chicago Hideout,65395533,Jaime,,Irving Park,41.94959,-87.71613,Entire home/apt,122.0,2,30,2022-11-29,4.23,1,8,30,R22000082516,0,0,0,0,0,0,0,0,0
107,3696178,Beautiful condo close to the beach,18742622,uarRara,,Rogers Park,42.02139,-87.67363,Private room,65.0,3,62,2022-08-17,0.67,2,344,3,R18000034124,0,1,0,0,0,0,0,0,0
108,3697283,"20 Mins to Downtown Chgo, 8 Mins to McCormick",241738,Karen,,Grand Boulevard,41.81793,-87.61796,Private room,85.0,2,12,2021-09-07,0.18,1,364,0,R17000013846,0,0,0,0,0,0,0,0,0
109,3742513,03a. Queen sized in coed room,2907254,Joe,,West Ridge,42.0168,-87.68771,Shared room,19.0,1,144,2022-11-20,1.42,17,179,12,R21000075752,0,2,0,0,0,0,0,0,0
110,3761023,"Free parking, close to public transit, dining",14015437,Andrew &  Diane,,Bridgeport,41.83514,-87.64774,Entire home/apt,75.0,2,72,2022-11-21,0.91,1,0,14,R17000015662,0,0,0,0,0,0,0,0,0
111,3783533,"""Home Away from Home"" - Free Street Parking!",19416379,Glenda,,Humboldt Park,41.898048,-87.702972,Entire home/apt,126.0,2,345,2022-12-16,3.43,1,170,31,R17000018703,0,0,0,0,0,0,0,0,0
112,3792844,Luxury high-rise One Bedroom One-Private bathroom,19471032,Alberto,,Loop,41.87852,-87.63091,Private room,60.0,32,6,2022-12-05,0.33,1,274,3,R21000074087,0,0,0,0,0,0,0,0,0
113,3811926,The Blue Room,11231030,Erik,,West Lawn,41.78384,-87.72759,Private room,39.0,1,455,2022-11-27,4.47,2,327,30,R17000014945,0,0,0,0,0,0,0,0,0
114,3835961,"Sunny, Classy Condo in Chicago",689354,ceuig-Won StelXI,,West Ridge,42.0059,-87.68286,Private room,55.0,3,2,2019-10-31,0.05,2,0,0,City registration pending,0,2,0,0,0,0,0,0,0
115,3870522,Big & Private Boho Vintage Condo w/ 3 porches.,3771351,Dorie,,Uptown,41.97407,-87.6659,Entire home/apt,149.0,3,48,2022-11-26,0.5,1,7,7,R21000063111,0,0,0,0,0,0,0,0,0
116,3979385,Private 3rd Floor Apartment,20624213,Karen,,Uptown,41.95717,-87.64828,Entire home/apt,125.0,2,308,2022-12-04,3.05,1,126,42,R19000047696,0,0,0,0,0,0,0,0,0
117,3979425,Brand New Duplex Humboldt / Ukrainian border,20624315,Molly,,West Town,41.90127,-87.69165,Entire home/apt,135.0,32,3,2017-07-17,0.04,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
118,4067870,Casa Corazón (N) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84828,-8768021.0,Private room,82.0,2,116,2022-10-25,1.2,3,263,17,R20000054162,0,2,0,0,1,0,0,0,0
119,4075630,Cute 1-Bdrm Coachouse Apartment in Wicker Park!!,16864162,Brittany,,West Town,41.90427,-87.66726,Entire home/apt,105.0,32,337,2022-08-21,3.38,1,0,23,R21000073879,0,0,0,0,0,0,0,0,0
120,4083903,"Beautiful, Spacious Historic Greystone Unit.",21178487,Fatimah,,Grand Boulevard,41.80404,-87.60922,Entire home/apt,150.0,1,3,2020-03-01,0.09,1,47,0,R21000075485,0,0,0,0,0,0,0,0,0
121,4105283,Short-Term Sublet Near Lake Michigan,18649856,Rachel,,Edgewater,41.99673,-87.6626,Apartment,42.0,32,205,2022-09-04,2.05,1,52,3,R17000015466,0,0,0,0,0,0,0,0,1
122,4156913,Near Lake Michigan & Wrigley Field,6874747,Brian,,Uptown,41.96705,-87.65772,Entire home/apt,254.0,2,101,2022-11-20,1.1,1,79,28,R22000081484,0,0,0,0,0,0,0,0,0
123,4156913,Near Lake Michigan & Wrigley Field,6874747,Brian,,Uptown,41.96705,-87.65772,Entire home/apt,254.0,2,101,2022-11-20,1.1,1,79,28,R22000081484,1,0,0,0,0,0,0,0,0
124,4182728,"Monthly Rental - 4-Bed, 3.5 Bath Chicago Townhouse",21699747,Mallory,,Avondale,41.94368,-87.7048,Entire home/apt,76.0,32,0,,,1,97,0,,0,0,0,0,0,0,0,2,0
125,4214683,"Mid City, Vintage, Close to O'Hare Pvt Room",21872907,Tamiz,,Irving Park,41.95015,-87.71031,Private room,51.0,2,117,2022-11-13,1.18,1,165,30,R22000091106,0,0,0,0,0,0,0,0,0
126,4218075,Lovely First Floor Flat with Piano,19809145,Michael,,West Town,41.89783,-87.68693,Entire home/apt,425.0,5,36,2022-10-10,0.36,1,177,2,R22000076589,0,0,0,0,0,0,0,0,0
127,4227003,Chicago Loop one bedroom/one bathroom Apartment,21937279,Claudia,,Loop,41.87346,-87.62843,Apartment,139.0,3,40,2022-11-11,1.51,1,0,24,R20000057868,0,0,0,0,0,0,0,0,1
128,4243905,Historic house in hip Logan Square,22022871,Jill,,Logan Square,41.92721,-87.69733,Apartment,250.0,7,49,2022-12-06,0.55,1,365,8,R21000074828,0,0,0,0,0,0,0,0,1
